CCODI_UBIGEO,DEPA,PROV,DIS,VOTOS_PL,VALIDOS_PL,EMITIDOS_PL,VOTOS_FP,VALIDOS_FP,EMITIDOS_FP,UBIGEO_INEI,ganador
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,7463,55.574,50.49,5966,44.426,40.363,010101,PL
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,121,79.605,76.582,31,20.395,19.62,010102,PL
010103,AMAZONAS,CHACHAPOYAS,BALSAS,368,58.692,56.012,259,41.308,39.422,010103,PL
010104,AMAZONAS,CHACHAPOYAS,CHETO,265,69.737,62.061,115,30.263,26.932,010104,PL
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,166,46.499,43.342,191,53.501,49.869,010105,FP
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,311,47.773,44.748,340,52.227,48.921,010106,FP
010107,AMAZONAS,CHACHAPOYAS,GRANADA,187,67.754,63.39,89,32.246,30.169,010107,PL
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,159,50.158,48.476,158,49.842,48.171,010108,PL
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,2158,82.304,74.645,464,17.696,16.05,010109,PL
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,849,54.916,50.808,697,45.084,41.712,010110,PL
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,362,55.436,52.847,291,44.564,42.482,010111,PL
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,342,66.537,62.868,172,33.463,31.618,010112,PL
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,261,52.41,48.968,237,47.59,44.465,010113,PL
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,780,59.77,55.754,525,40.23,37.527,010114,PL
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,281,71.501,66.588,112,28.499,26.54,010115,PL
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,177,73.444,70.8,64,26.556,25.6,010116,PL
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,356,82.407,76.89,76,17.593,16.415,010117,PL
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,107,54.872,50.235,88,45.128,41.315,010118,PL
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,238,62.141,59.95,145,37.859,36.524,010119,PL
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,512,65.979,62.061,264,34.021,32,010120,PL
010121,AMAZONAS,CHACHAPOYAS,SONCHE,98,52.406,49.246,89,47.594,44.724,010121,PL
010201,AMAZONAS,BAGUA,LA PECA,2769,62.016,57.99,1696,37.984,35.518,010206,PL
010202,AMAZONAS,BAGUA,ARAMANGO,3243,65.107,60.844,1738,34.893,32.608,010202,PL
010203,AMAZONAS,BAGUA,COPALLIN,1940,69.113,65.452,867,30.887,29.251,010203,PL
010204,AMAZONAS,BAGUA,EL PARCO,690,73.404,70.624,250,26.596,25.589,010204,PL
010205,AMAZONAS,BAGUA,BAGUA,7623,59.709,55.797,5144,40.291,37.652,010201,PL
010206,AMAZONAS,BAGUA,IMAZA,8706,90.669,87.339,896,9.331,8.989,010205,PL
010301,AMAZONAS,BONGARA,JUMBILLA,366,68.284,61.204,170,31.716,28.428,010301,PL
010302,AMAZONAS,BONGARA,COROSHA,380,79.167,76,100,20.833,20,010304,PL
010303,AMAZONAS,BONGARA,CUISPES,319,76.499,73.165,98,23.501,22.477,010305,PL
010304,AMAZONAS,BONGARA,CHISQUILLA,176,62.411,57.516,106,37.589,34.641,010302,PL
010305,AMAZONAS,BONGARA,CHURUJA,111,46.444,44.4,128,53.556,51.2,010303,FP
010306,AMAZONAS,BONGARA,FLORIDA,1843,62.096,56.778,1125,37.904,34.658,010306,PL
010307,AMAZONAS,BONGARA,RECTA,143,77.297,74.869,42,22.703,21.99,010308,PL
010308,AMAZONAS,BONGARA,SAN CARLOS,202,66.447,61.398,102,33.553,31.003,010309,PL
010309,AMAZONAS,BONGARA,SHIPASBAMBA,604,69.187,64.599,269,30.813,28.77,010310,PL
010310,AMAZONAS,BONGARA,VALERA,286,48.722,46.055,301,51.278,48.47,010311,FP
010311,AMAZONAS,BONGARA,YAMBRASBAMBA,1914,65.751,62.529,997,34.249,32.571,010312,PL
010312,AMAZONAS,BONGARA,JAZAN,2030,53.407,49.476,1771,46.593,43.164,010307,PL
010401,AMAZONAS,LUYA,LAMUD,695,65.628,60.435,364,34.372,31.652,010501,PL
010402,AMAZONAS,LUYA,CAMPORREDONDO,2041,70.501,65.945,854,29.499,27.593,010502,PL
010403,AMAZONAS,LUYA,COCABAMBA,411,64.521,60.979,226,35.479,33.531,010503,PL
010404,AMAZONAS,LUYA,COLCAMAR,571,55.437,49.352,459,44.563,39.672,010504,PL
010405,AMAZONAS,LUYA,CONILA,583,62.959,59.008,343,37.041,34.717,010505,PL
010406,AMAZONAS,LUYA,INGUILPATA,147,46.372,43.491,170,53.628,50.296,010506,FP
010407,AMAZONAS,LUYA,LONGUITA,215,41.109,39.377,308,58.891,56.41,010507,FP
010408,AMAZONAS,LUYA,LONYA CHICO,268,62.326,59.031,162,37.674,35.683,010508,PL
010409,AMAZONAS,LUYA,LUYA,1154,57.384,53.575,857,42.616,39.786,010509,PL
010410,AMAZONAS,LUYA,LUYA VIEJO,143,61.373,56.972,90,38.627,35.857,010510,PL
010411,AMAZONAS,LUYA,MARIA,296,64.912,60.905,160,35.088,32.922,010511,PL
010412,AMAZONAS,LUYA,OCALLI,990,67.901,63.666,468,32.099,30.096,010512,PL
010413,AMAZONAS,LUYA,OCUMAL,739,54.499,50.93,617,45.501,42.522,010513,PL
010414,AMAZONAS,LUYA,PISUQUIA,973,63.47,59.84,560,36.53,34.44,010514,PL
010415,AMAZONAS,LUYA,SAN CRISTOBAL,196,57.31,53.699,146,42.69,40,010516,PL
010416,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,236,62.933,60.825,139,37.067,35.825,010517,PL
010417,AMAZONAS,LUYA,SAN JERONIMO,196,51.579,49.37,184,48.421,46.348,010518,PL
010418,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,135,50.752,46.233,131,49.248,44.863,010519,PL
010419,AMAZONAS,LUYA,SANTA CATALINA,376,56.456,54.572,290,43.544,42.09,010520,PL
010420,AMAZONAS,LUYA,SANTO TOMAS,795,57.484,53.356,588,42.516,39.463,010521,PL
010421,AMAZONAS,LUYA,TINGO,361,48.133,45.012,389,51.867,48.504,010522,FP
010422,AMAZONAS,LUYA,TRITA,526,77.126,73.98,156,22.874,21.941,010523,PL
010423,AMAZONAS,LUYA,PROVIDENCIA,481,83.798,80.705,93,16.202,15.604,010515,PL
010501,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,1098,50.904,46.173,1059,49.096,44.533,010601,PL
010502,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,268,62.471,57.759,161,37.529,34.698,010603,PL
010503,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,547,58.191,55.646,393,41.809,39.98,010602,PL
010504,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,626,42.326,38.786,853,57.674,52.85,010604,FP
010505,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,485,63.151,58.014,283,36.849,33.852,010605,PL
010506,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,538,59.186,53.693,371,40.814,37.026,010606,PL
010507,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,194,60.815,56.395,125,39.185,36.337,010608,PL
010508,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,547,51.848,49.014,508,48.152,45.52,010607,PL
010509,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,2409,68.632,62.571,1101,31.368,28.597,010609,PL
