DISTRITO,CAT,UBIGEO,POB_2020,MAS80_2020,DISC_2020,IVA,IDH_2019,POBREZA_2019,EXT_POBREZA_2019,UBIGEO_PROV,UBIGEO_REG,AUSEN,INVAL,ACCION POPULAR,ALIANZA PARA EL PROGRESO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,DEMOCRACIA DIRECTA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,FUERZA POPULAR,JUNTOS POR EL PERU,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POPULAR CRISTIANO - PPC,PERU LIBERTARIO,PERU NACION,PERU PATRIA SEGURA,PERUANOS POR EL KAMBIO,PODEMOS POR EL PROGRESO DEL PERU,RESTAURACION NACIONAL,SIEMPRE UNIDOS,SOLIDARIDAD NACIONAL,TOTAL DE VOTOS VALIDOS,UNION POR EL PERU,VAMOS PERU,GANADOR,WIN_VAL
ANCON,Distrito,150102,54027,565,492,0.265694439411163,0.66888898852900802,19.246935000000001,1.381812,150100,150000,16.14,15.87,20.71,3.41,0.3,2.19,1.72,2.24,1.85,0.65,9.71,5.26,3.44,0.49,16.31,0.22,18.82,3.12,6.28,1.59,100,1.42,0.27,ACCION POPULAR,20.71
ATE,Distrito,150103,663149,6785,4012,0.29025661945343001,0.68685496369396404,17.174935999999999,0.564967,150100,150000,17.89,13.23,31.08,3.38,0.74,1.73,1.98,3.92,3.17,0.35,4.19,2.8,4.07,0.29,13.9,0.23,22.65,1.3,0.81,1.4,100,1.51,0.47,ACCION POPULAR,31.08
BARRANCO,Distrito,150104,54982,1979,419,0.13533812761306799,0.82076428382130495,3.1723249999999998,0.235426,150100,150000,19.3,4.41,50.56,2.41,0.24,2.42,1.04,0.51,1.88,0.9,1.74,5.48,2.71,0.38,4.93,0.24,11.81,1.19,4.5,1,100,5.22,0.86,ACCION POPULAR,50.56
BREÑA,Distrito,150105,132522,4646,1323,9.4723343849182198E-2,0.81211445274223804,4.0414669999999999,0.118454,150100,150000,17.79,13.21,46.16,1.84,1.25,3.34,1.32,0.59,1.99,0.86,1.6,6.57,3.28,0.29,5.47,0.21,18.51,1.29,2.03,1.97,100,1.02,0.41,ACCION POPULAR,46.16
CARABAYLLO,Distrito,150106,311703,3139,2368,0.17518043518066401,0.64986935081775399,19.176020999999999,1.1610940000000001,150100,150000,15.44,15.64,23.68,10.11,2.76,1.46,1.43,3.38,2.14,0.64,5.84,4.62,3.02,0.5,7.41,0.35,22.84,4.35,1.05,3.03,100,1.12,0.25,ACCION POPULAR,23.68
CHACLACAYO,Distrito,150107,53073,1219,414,0.13862818479538,0.74105374196932905,9.7126249999999992,0.26717299999999999,150100,150000,18.22,5.84,33.57,6.89,1.51,1.66,1.68,0.88,2.87,0.63,3.18,3.87,5.37,1.98,7.24,0.42,17.69,3.03,0.99,1.88,100,3.63,1.02,ACCION POPULAR,33.57
CHORRILLOS,Distrito,150108,351480,6163,2504,0.16052901744842499,0.75835539281644004,11.60839,0.47402699999999998,150100,150000,15.88,12.57,36.87,3.73,0.69,1.15,1.12,2.67,1.87,0.4,1.84,5.47,3.52,0.46,10.86,0.17,17.57,0.99,0.54,7.37,100,2.28,0.43,ACCION POPULAR,36.87
CIENEGUILLA,Distrito,150109,33918,373,156,0.244015872478485,0.63717164956412298,17.529394,1.313477,150100,150000,14.7,3.39,24.38,5.21,0.43,11.13,1.31,4.78,3.02,0.47,5.38,11.8,3.16,0.37,5.78,0.42,15.69,1.55,0.6,1.66,100,1.28,1.58,ACCION POPULAR,24.38
COMAS,Distrito,150110,596655,10086,4596,0.157690465450287,0.72189269884001095,16.044523000000002,0.57793700000000003,150100,150000,15.89,13.37,29.08,3.31,0.86,1.58,1.78,2.33,2.91,1.48,3.12,3.39,3.37,0.5,10.95,0.25,23.31,1.51,1.62,2.68,100,5.25,0.72,ACCION POPULAR,29.08
EL AGUSTINO,Distrito,150111,232653,3387,1687,0.13786333799362199,0.69706178103141903,16.689837000000001,0.63696200000000003,150100,150000,15.5,12.88,22.86,7.85,0.54,1.44,1.61,2.85,2.12,0.61,2.33,6.2,4.92,0.59,12.5,0.23,24.9,1.31,1.99,1.99,100,2.72,0.42,PODEMOS POR EL PROGRESO DEL PERU,24.9
